trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
85,0,85,0,0.15,0,90,4.08257390279,5.24722220283,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
86,0,86,0,0.15,0,90,7.53920707759,24.6873191986,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
87,0,87,0,0.15,0,90,1.68347345758,5.13818488084,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
88,0,88,0,0.15,1,90,17.3031969145,24.9233464031,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
89,0,89,0,0.15,0,90,7.04193717334,11.1368891858,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
90,0,90,0,0.15,0,90,3.60511601344,6.80151806958,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
91,0,91,0,0.15,0,90,9.59566844348,11.5248873802,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
92,0,92,0,0.15,0,90,7.07266677823,32.7318189889,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
93,0,93,0,0.15,0,90,30.5606262805,42.8053721916,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
94,0,94,0,0.15,1,90,23.0913635679,48.681180709,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
95,0,95,0,0.15,1,90,8.18644213118,12.1736497236,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
96,0,96,0,0.15,0,90,9.55181370769,13.1088149473,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
97,0,97,0,0.15,0,90,5.91098058503,16.0535031687,90,left,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
98,0,98,0,0.15,0,90,3.46141171642,57.4132284969,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
99,0,99,0,0.15,1,90,35.7672422053,40.4996302603,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
